user	probability	predict_rank
donnemartin	0.0014	15
kennethreitz	0.0032	30
mitsuhiko	0.0011	27
jakubroztocil	0.0005	13
nvbn	0.0008	5
rg3	0.0003	10
toddmotto	0.0003	9
josephmisiti	0.0003	19
minimaxir	0.0007	16
fchollet	0.0002	17
soimort	0.0003	12
floodsung	0.0004	21
Valloric	0.0003	7
alexjc	0.0005	11
vinta	0.0004	29
eriklindernoren	0.0007	25
faif	0.0002	14
chrissimpkins	0.0005	1
wangshub	0.0004	20
miguelgrinberg	0.0016	24
fxsjy	0.0003	2
ageitgey	0.0002	18
keon	0.0008	28
tomchristie	0.0006	22
s0md3v	0.0010	3
littlecodersh	0.0003	4
apenwarr	0.0005	6
binux	0.0003	23
rushter	0.0005	26
astorfi	0.0007	8
