user	probability	predict_rank
donnemartin	0.0016	28
kennethreitz	0.0034	16
mitsuhiko	0.0013	8
jakubroztocil	0.0005	12
nvbn	0.0008	21
rg3	0.0003	19
toddmotto	0.0003	7
josephmisiti	0.0003	11
minimaxir	0.0006	25
fchollet	0.0002	29
soimort	0.0004	1
floodsung	0.0004	13
Valloric	0.0003	30
alexjc	0.0004	14
vinta	0.0004	9
eriklindernoren	0.0007	17
faif	0.0002	15
chrissimpkins	0.0005	27
wangshub	0.0003	20
miguelgrinberg	0.0015	10
fxsjy	0.0003	2
ageitgey	0.0001	22
keon	0.0008	4
tomchristie	0.0007	5
s0md3v	0.0009	6
littlecodersh	0.0003	18
apenwarr	0.0005	24
binux	0.0003	23
rushter	0.0004	26
astorfi	0.0006	3
