user,probability,predict_rank
donnemartin,0.0015209547852783056,2428
kennethreitz,0.0032223948817287113,389
mitsuhiko,0.001035623442901615,876
jakubroztocil,0.0004437513598264486,1258
nvbn,0.0007074426732492794,1863
rg3,0.00034945965175502895,2692
toddmotto,0.000282259001176103,156
josephmisiti,0.00030910206742740584,1677
minimaxir,0.0004784309945314492,3187
fchollet,0.0001925154248671491,519
soimort,0.00031605555270831524,1244
floodsung,0.00038569338965073545,2208
alexjc,0.00042145276402505866,555
vinta,0.0003313940484815093,548
eriklindernoren,0.0006255219336084973,727
faif,0.0002380412760464435,2412
chrissimpkins,0.00043786424334571667,157
wangshub,0.0002636113830294859,1078
miguelgrinberg,0.0012455257391717663,2974
fxsjy,0.0002571868723249335,892
ageitgey,0.00013359239393751602,2966
keon,0.00080086678442673,3247
tomchristie,0.0005759363765456762,948
s0md3v,0.0007457748246909253,1363
littlecodersh,0.00031371367809944283,3325
apenwarr,0.0004618871487699532,2357
binux,0.0002961969595356599,2159
rushter,0.000373078890607988,1478
astorfi,0.0005800028081886472,1775
